Rank,Name,Symbol,marketcap,price (USD),country,page numbers,Report link,sector,industry
760,Vimian Group,VIMIAN.ST,1555611111,2.95236,Sweden,,,,
762,Nolato AB,NOLA-B.ST,1552058882,5.76166,Sweden,,,,
763,Newag,NWG.WA,1551376197,34.475,Poland,,,,
765,Dole PLC,DOLE,1544489856,16.23,Ireland,,,,
766,Pharma Mar,PHM.MC,1541969784,90.1513,Spain,,,,
768,Cloetta,CLA-B.ST,1538257682,5.36572,Sweden,,,,
769,Ferretti,F3T1.F,1537623867,4.41003,Italy,,,,
770,Wavestone SA,WAVE.PA,1532821824,62.4261,France,,,,
771,Planisware,PLNW.PA,1530709930,21.9437,France,,,,
772,New Wave Group,NEWA-B.ST,1524580614,11.49,Sweden,,,,
773,Paradox Interactive,PDX.ST,1517016654,14.3626,Sweden,,,,
774,PFISTERER Holding SE,PFSE.DE,1516850880,83.826,Germany,,,,
775,Betsson AB,BETS-B.ST,1486216135,10.7969,Sweden,,,,
777,Nexus AG,NXU.DE,1470436668,85.1369,Germany,,,,
778,Jumia,JMIA,1458532224,11.91,Germany,,,,
779,Douglas Group,DOU.DE,1445106410,13.2892,Germany,,,,
782,Ramsay Générale de Santé,GDS.PA,1435402442,13.0054,France,,,,
783,Dometic Group,DOM.ST,1431575434,4.48067,Sweden,,,,
784,Rusta AB,RUSTA.ST,1422391518,9.29962,Sweden,,,,
785,Cibus Nordic Real Estate,CIBUS.ST,1421131463,17.3127,Sweden,,,,
787,Banco di Desio e della Brianza,BDB.MI,1417652240,10.7827,Italy,,,,
788,engcon AB,ENGCON-B.ST,1414390429,9.28298,Sweden,,,,
789,H&amp;K AG (Heckler &amp; Koch),MLHK.PA,1409578464,39.7257,Germany,,,,
790,thyssenkrupp nucera,NCH2.DE,1387304223,10.8359,Germany,,,,
791,Telia Lietuva,ZWS.F,1384550059,2.37645,Lithuania,,,,
793,MBB SE,MBB.DE,1379797503,255.38,Germany,,,,
794,Intercos,ICOS.MI,1374755441,14.5188,Italy,,,,
795,Adtran Networks,ADV.DE,1372446659,26.3656,Germany,,,,
796,atai Life Sciences,ATAI,1369319040,3.77,Germany,,,,
797,B.F. S.p.A.,BFG.MI,1368281589,5.22582,Italy,,,,
799,Vitrolife AB,VITR.ST,1364010858,10.0704,Sweden,,,,
800,Bilia AB,BILI-A.ST,1359675680,14.7618,Sweden,,,,
802,Hemnet Group AB,HEM.ST,1355861220,14.5178,Sweden,,,,
804,About You,YOU.DE,1349692882,7.76846,Germany,,,,
805,EL.En. S.p.A. (Elen Group),ELN.MI,1349402572,16.8361,Italy,,,,
808,VIEL &amp; Cie,VIL.PA,1317901678,20.9269,France,,,,
811,Klöckner &amp; Co,KCO.DE,1302009883,13.0527,Germany,,,,
813,Immatics,IMTX,1291034752,9.63,Germany,,,,
815,Develia,DVL.WA,1268791750,2.73838,Poland,,,,
817,BayWa,BYW.F,1266566609,19.7446,Germany,,,,
821,Bonesupport Holding AB,BONEX.ST,1252686908,19.0207,Sweden,,,,
822,Norion Bank,NORION.ST,1241853167,6.54356,Sweden,,,,
823,Puuilo,PUUILO.HE,1237602333,14.6725,Finland,,,,
824,Aedas Homes,AEDAS.MC,1228441586,28.3164,Spain,,,,
825,Zeal Network,TIMA.F,1227379586,58.1698,Germany,,,,
826,Inventiva,IVA,1221498112,5.88,France,,,,
828,Vetoquinol,VETO.PA,1217106140,102.861,France,,,,
829,Caisse Régionale de Crédit Agricole Mutuel Alpes Provence,CRAP.PA,1216739529,163.75,France,,,,
830,Mercialys,MERY.PA,1216327516,13.0291,France,,,,
832,Adecoagro,AGRO,1212361344,8.57,Luxembourg,,,,
835,ChemoMetec,CHEMM.CO,1189903722,68.3755,Denmark,,,,
837,GasLog,GLOP-PA,1184410496,25.81,Greece,,,,
838,Caisse régionale de Crédit Agricole Mutuel Atlantique Vendée,CRAV.PA,1181158464,160.156,France,,,,
839,TF Bank AB,TFBANK.ST,1169887884,18.0957,Sweden,,,,
841,DBV Technologies,DBVT,1168416640,21.26,France,,,,
842,Sedlmayr Grund und Immobilien AG,SPB.F,1154626536,1572.48,Germany,,,,
843,Rosetti Marino,YRM.MI,1150153724,302.672,Italy,,,,
844,Polenergia,PEP.WA,1147094096,14.8551,Poland,,,,
845,JOST Werke SE,JST.DE,1146831369,76.9685,Germany,,,,
846,CTT - Correios De Portugal,CTT.LS,1146237754,8.64271,Portugal,,,,
847,Neurones,NRO.PA,1144686030,47.056,France,,,,
848,Einhell Germany,EIN.DE,1142696724,100.615,Germany,,,,
849,Vitec Software Group,VIT-B.ST,1142108769,28.7473,Sweden,,,,
851,Frey SA,FREY.PA,1139084781,35.7058,France,,,,
854,Pharming Group,PHAR,1120971392,16.09,Netherlands,,,,
856,Voltalia,VLTSA.PA,1105442028,8.44171,France,,,,
861,Plejd AB,PLEJD.ST,1084662681,97.0292,Sweden,,,,
863,Dynavox Group,DYVOX.ST,1079931138,10.2312,Sweden,,,,
864,Inwido AB,INWI.ST,1076148557,18.5631,Sweden,,,,
865,Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes,CRSU.PA,1073876286,236.415,France,,,,
